0xA75A	卵	U+5375
0xA75B	吝	U+541D
0xA75C	吭	U+542D
0xA75D	吞	U+541E
0xA75E	吾	U+543E
0xA75F	否	U+5426
0xA760	呎	U+544E
0xA761	吧	U+5427
0xA762	呆	U+5446
0xA763	呃	U+5443
0xA764	吳	U+5433
0xA765	呈	U+5448
0xA766	呂	U+5442
0xA767	君	U+541B
0xA768	吩	U+5429
0xA769	告	U+544A
0xA76A	吹	U+5439
0xA76B	吻	U+543B
0xA76C	吸	U+5438
0xA76D	吮	U+542E
0xA76E	吵	U+5435
0xA76F	吶	U+5436
0xA770	吠	U+5420
0xA771	吼	U+543C
0xA772	呀	U+5440
0xA773	吱	U+5431
0xA774	含	U+542B
0xA775	吟	U+541F
0xA776	听	U+542C
0xA777	囪	U+56EA
0xA778	困	U+56F0
0xA779	囤	U+56E4
0xA77A	囫	U+56EB
0xA77B	坊	U+574A
0xA77C	坑	U+5751
0xA77D	址	U+5740
0xA77E	坍	U+574D
0xA7A1	均	U+5747
0xA7A2	坎	U+574E
0xA7A3	圾	U+573E
0xA7A4	坐	U+5750
0xA7A5	坏	U+574F
0xA7A6	圻	U+573B
0xA7A7	壯	U+58EF
0xA7A8	夾	U+593E
0xA7A9	妝	U+599D
0xA7AA	妒	U+5992
0xA7AB	妨	U+59A8
0xA7AC	妞	U+599E
0xA7AD	妣	U+59A3
0xA7AE	妙	U+5999
0xA7AF	妖	U+5996
0xA7B0	妍	U+598D
0xA7B1	妤	U+59A4
0xA7B2	妓	U+5993
0xA7B3	妊	U+598A
0xA7B4	妥	U+59A5
0xA7B5	孝	U+5B5D
0xA7B6	孜	U+5B5C
0xA7B7	孚	U+5B5A
0xA7B8	孛	U+5B5B
0xA7B9	完	U+5B8C
0xA7BA	宋	U+5B8B
0xA7BB	宏	U+5B8F
0xA7BC	尬	U+5C2C
0xA7BD	局	U+5C40
0xA7BE	屁	U+5C41
0xA7BF	尿	U+5C3F
0xA7C0	尾	U+5C3E
0xA7C1	岐	U+5C90
0xA7C2	岑	U+5C91
0xA7C3	岔	U+5C94
0xA7C4	岌	U+5C8C
0xA7C5	巫	U+5DEB
0xA7C6	希	U+5E0C
0xA7C7	序	U+5E8F
0xA7C8	庇	U+5E87
0xA7C9	床	U+5E8A
0xA7CA	廷	U+5EF7
0xA7CB	弄	U+5F04
0xA7CC	弟	U+5F1F
0xA7CD	彤	U+5F64
0xA7CE	形	U+5F62
0xA7CF	彷	U+5F77
0xA7D0	役	U+5F79
0xA7D1	忘	U+5FD8
0xA7D2	忌	U+5FCC
0xA7D3	志	U+5FD7
0xA7D4	忍	U+5FCD
0xA7D5	忱	U+5FF1
0xA7D6	快	U+5FEB
0xA7D7	忸	U+5FF8
0xA7D8	忪	U+5FEA
0xA7D9	戒	U+6212
0xA7DA	我	U+6211
0xA7DB	抄	U+6284
0xA7DC	抗	U+6297
0xA7DD	抖	U+6296
0xA7DE	技	U+6280
0xA7DF	扶	U+6276
0xA7E0	抉	U+6289
0xA7E1	扭	U+626D
0xA7E2	把	U+628A
0xA7E3	扼	U+627C
0xA7E4	找	U+627E
0xA7E5	批	U+6279
0xA7E6	扳	U+6273
0xA7E7	抒	U+6292
0xA7E8	扯	U+626F
0xA7E9	折	U+6298
0xA7EA	扮	U+626E
0xA7EB	投	U+6295
0xA7EC	抓	U+6293
0xA7ED	抑	U+6291
0xA7EE	抆	U+6286
0xA7EF	改	U+6539
0xA7F0	攻	U+653B
0xA7F1	攸	U+6538
0xA7F2	旱	U+65F1
0xA7F3	更	U+66F4
0xA7F4	束	U+675F
0xA7F5	李	U+674E
0xA7F6	杏	U+674F
0xA7F7	材	U+6750
0xA7F8	村	U+6751
0xA7F9	杜	U+675C
0xA7FA	杖	U+6756
0xA7FB	杞	U+675E
0xA7FC	杉	U+6749
0xA7FD	杆	U+6746
0xA7FE	杠	U+6760
0xA840	杓	U+6753
0xA841	杗	U+6757
0xA842	步	U+6B65
0xA843	每	U+6BCF
0xA844	求	U+6C42
0xA845	汞	U+6C5E
0xA846	沙	U+6C99
0xA847	沁	U+6C81
0xA848	沈	U+6C88
0xA849	沉	U+6C89
0xA84A	沅	U+6C85
0xA84B	沛	U+6C9B
0xA84C	汪	U+6C6A
0xA84D	決	U+6C7A
0xA84E	沐	U+6C90
0xA84F	汰	U+6C70
0xA850	沌	U+6C8C
0xA851	汨	U+6C68
0xA852	沖	U+6C96
0xA853	沒	U+6C92
0xA854	汽	U+6C7D
0xA855	沃	U+6C83
0xA856	汲	U+6C72
0xA857	汾	U+6C7E
0xA858	汴	U+6C74
0xA859	沆	U+6C86
0xA85A	汶	U+6C76
0xA85B	沍	U+6C8D
0xA85C	沔	U+6C94
0xA85D	沘	U+6C98
0xA85E	沂	U+6C82
0xA85F	灶	U+7076
0xA860	灼	U+707C
0xA861	災	U+707D
0xA862	灸	U+7078
0xA863	牢	U+7262
0xA864	牡	U+7261
0xA865	牠	U+7260
0xA866	狄	U+72C4
0xA867	狂	U+72C2
0xA868	玖	U+7396
0xA869	甬	U+752C
0xA86A	甫	U+752B
0xA86B	男	U+7537
0xA86C	甸	U+7538
0xA86D	皂	U+7682
0xA86E	盯	U+76EF
0xA86F	矣	U+77E3
0xA870	私	U+79C1
0xA871	秀	U+79C0
0xA872	禿	U+79BF
0xA873	究	U+7A76
0xA874	系	U+7CFB
0xA875	罕	U+7F55
0xA876	肖	U+8096
0xA877	肓	U+8093
0xA878	肝	U+809D
0xA879	肘	U+8098
0xA87A	肛	U+809B
0xA87B	肚	U+809A
0xA87C	育	U+80B2
0xA87D	良	U+826F
0xA87E	芒	U+8292
0xA8A1	芋	U+828B
0xA8A2	芍	U+828D
0xA8A3	見	U+898B
0xA8A4	角	U+89D2
0xA8A5	言	U+8A00
0xA8A6	谷	U+8C37
0xA8A7	豆	U+8C46
0xA8A8	豕	U+8C55
0xA8A9	貝	U+8C9D
0xA8AA	赤	U+8D64
0xA8AB	走	U+8D70
0xA8AC	足	U+8DB3
0xA8AD	身	U+8EAB
0xA8AE	車	U+8ECA
0xA8AF	辛	U+8F9B
0xA8B0	辰	U+8FB0
0xA8B1	迂	U+8FC2
0xA8B2	迆	U+8FC6
0xA8B3	迅	U+8FC5
0xA8B4	迄	U+8FC4
0xA8B5	巡	U+5DE1
0xA8B6	邑	U+9091
0xA8B7	邢	U+90A2
0xA8B8	邪	U+90AA
0xA8B9	邦	U+90A6
0xA8BA	那	U+90A3
0xA8BB	酉	U+9149
0xA8BC	釆	U+91C6
0xA8BD	里	U+91CC
0xA8BE	防	U+9632
0xA8BF	阮	U+962E
0xA8C0	阱	U+9631
0xA8C1	阪	U+962A
0xA8C2	阬	U+962C
0xA8C3	並	U+4E26
0xA8C4	乖	U+4E56
0xA8C5	乳	U+4E73
0xA8C6	事	U+4E8B
0xA8C7	些	U+4E9B
0xA8C8	亞	U+4E9E
0xA8C9	享	U+4EAB
0xA8CA	京	U+4EAC
0xA8CB	佯	U+4F6F
0xA8CC	依	U+4F9D
0xA8CD	侍	U+4F8D
0xA8CE	佳	U+4F73
0xA8CF	使	U+4F7F
0xA8D0	佬	U+4F6C
0xA8D1	供	U+4F9B
0xA8D2	例	U+4F8B
0xA8D3	來	U+4F86
0xA8D4	侃	U+4F83
0xA8D5	佰	U+4F70
0xA8D6	併	U+4F75
0xA8D7	侈	U+4F88
0xA8D8	佩	U+4F69
0xA8D9	佻	U+4F7B
0xA8DA	侖	U+4F96
0xA8DB	佾	U+4F7E
0xA8DC	侏	U+4F8F
0xA8DD	侑	U+4F91
0xA8DE	佺	U+4F7A
0xA8DF	兔	U+5154
0xA8E0	兒	U+5152
0xA8E1	兕	U+5155
0xA8E2	兩	U+5169
0xA8E3	具	U+5177
0xA8E4	其	U+5176
0xA8E5	典	U+5178
0xA8E6	冽	U+51BD
0xA8E7	函	U+51FD
0xA8E8	刻	U+523B
0xA8E9	券	U+5238
0xA8EA	刷	U+5237
0xA8EB	刺	U+523A
0xA8EC	到	U+5230
0xA8ED	刮	U+522E
0xA8EE	制	U+5236
0xA8EF	剁	U+5241
0xA8F0	劾	U+52BE
0xA8F1	劻	U+52BB
0xA8F2	卒	U+5352
0xA8F3	協	U+5354
0xA8F4	卓	U+5353
0xA8F5	卑	U+5351
0xA8F6	卦	U+5366
0xA8F7	卷	U+5377
0xA8F8	卸	U+5378
