0xB5A2	耽	U+803D
0xB5A3	担	U+62C5
0xB5A4	丹	U+4E39
0xB5A5	单	U+5355
0xB5A6	郸	U+90F8
0xB5A7	掸	U+63B8
0xB5A8	胆	U+80C6
0xB5A9	旦	U+65E6
0xB5AA	氮	U+6C2E
0xB5AB	但	U+4F46
0xB5AC	惮	U+60EE
0xB5AD	淡	U+6DE1
0xB5AE	诞	U+8BDE
0xB5AF	弹	U+5F39
0xB5B0	蛋	U+86CB
0xB5B1	当	U+5F53
0xB5B2	挡	U+6321
0xB5B3	党	U+515A
0xB5B4	荡	U+8361
0xB5B5	档	U+6863
0xB5B6	刀	U+5200
0xB5B7	捣	U+6363
0xB5B8	蹈	U+8E48
0xB5B9	倒	U+5012
0xB5BA	岛	U+5C9B
0xB5BB	祷	U+7977
0xB5BC	导	U+5BFC
0xB5BD	到	U+5230
0xB5BE	稻	U+7A3B
0xB5BF	悼	U+60BC
0xB5C0	道	U+9053
0xB5C1	盗	U+76D7
0xB5C2	德	U+5FB7
0xB5C3	得	U+5F97
0xB5C4	的	U+7684
0xB5C5	蹬	U+8E6C
0xB5C6	灯	U+706F
0xB5C7	登	U+767B
0xB5C8	等	U+7B49
0xB5C9	瞪	U+77AA
0xB5CA	凳	U+51F3
0xB5CB	邓	U+9093
0xB5CC	堤	U+5824
0xB5CD	低	U+4F4E
0xB5CE	滴	U+6EF4
0xB5CF	迪	U+8FEA
0xB5D0	敌	U+654C
0xB5D1	笛	U+7B1B
0xB5D2	狄	U+72C4
0xB5D3	涤	U+6DA4
0xB5D4	翟	U+7FDF
0xB5D5	嫡	U+5AE1
0xB5D6	抵	U+62B5
0xB5D7	底	U+5E95
0xB5D8	地	U+5730
0xB5D9	蒂	U+8482
0xB5DA	第	U+7B2C
0xB5DB	帝	U+5E1D
0xB5DC	弟	U+5F1F
0xB5DD	递	U+9012
0xB5DE	缔	U+7F14
0xB5DF	颠	U+98A0
0xB5E0	掂	U+6382
0xB5E1	滇	U+6EC7
0xB5E2	碘	U+7898
0xB5E3	点	U+70B9
0xB5E4	典	U+5178
0xB5E5	靛	U+975B
0xB5E6	垫	U+57AB
0xB5E7	电	U+7535
0xB5E8	佃	U+4F43
0xB5E9	甸	U+7538
0xB5EA	店	U+5E97
0xB5EB	惦	U+60E6
0xB5EC	奠	U+5960
0xB5ED	淀	U+6DC0
0xB5EE	殿	U+6BBF
0xB5EF	碉	U+7889
0xB5F0	叼	U+53FC
0xB5F1	雕	U+96D5
0xB5F2	凋	U+51CB
0xB5F3	刁	U+5201
0xB5F4	掉	U+6389
0xB5F5	吊	U+540A
0xB5F6	钓	U+9493
0xB5F7	调	U+8C03
0xB5F8	跌	U+8DCC
0xB5F9	爹	U+7239
0xB5FA	碟	U+789F
0xB5FB	蝶	U+8776
0xB5FC	迭	U+8FED
